id,user_id,text_id,start_offset,end_offset,path,phrase,tagset_id,tag_id
51993,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,348,359,מטפוריקה/מטפורה/פועל + שם עצם,קומה בחרונך,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_22659804-7F8D-49CF-ADB6-6A2BAF5D973F
51994,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,6,10,מטפוריקה/מטפורה/פועל,זריח,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_E9838F91-6951-4C37-BCB6-34D5CED873D5
51995,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,78,82,מטפוריקה/סינקדוכה,פניך,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_DF5427D3-4AF1-4BF5-9093-DDE819082960
51996,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,0,3,מטפוריקה/מטפורה/שם עצם,אור,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_1A6BD2E1-E054-4FEE-B095-036E59503C24
51997,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,398,402,מטפוריקה/מטפורה/סמיכות,זרוע,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_1A783824-1ACC-45B9-B59B-14D7FAB977C2
51998,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,402,412,מטפוריקה/מטפורה/סמיכות, מלכות רשע,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_1A783824-1ACC-45B9-B59B-14D7FAB977C2
51999,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,74,77,מטפוריקה/מטפורה/פועל,האר,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_E9838F91-6951-4C37-BCB6-34D5CED873D5
52000,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,266,271,כינוי/כינוי ציורי/כינוי סינקדוכי,חדריך,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_3C8C6877-3BF2-4AB7-82A1-4955CD15643B
52001,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,426,435,כינוי/כיוני פשט,קוראי שמך,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_1E2EDF73-221E-47C3-9E94-BB15A841E2D7
52002,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,12,17,כינוי/כינוי ציורי/כינוי מטפורי,חשוכה,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_D606A208-F3CA-4F7B-9F2C-57A88C37082A
52003,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,238,241,מטפוריקה/מטפורה/פועל,רוץ,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_E9838F91-6951-4C37-BCB6-34D5CED873D5
52004,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,50,52,מטפוריקה/סינקדוכה,לב,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_DF5427D3-4AF1-4BF5-9093-DDE819082960
52005,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,398,402,מטפוריקה/סינקדוכה,זרוע,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_DF5427D3-4AF1-4BF5-9093-DDE819082960
52006,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,393,398,מטפוריקה/מטפורה/פועל + שם עצם,שבור ,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_22659804-7F8D-49CF-ADB6-6A2BAF5D973F
52007,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,398,402,מטפוריקה/מטפורה/פועל + שם עצם,זרוע,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_22659804-7F8D-49CF-ADB6-6A2BAF5D973F
52008,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,342,346,מטפוריקה/סינקדוכה,אפיך,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_DF5427D3-4AF1-4BF5-9093-DDE819082960
52009,22,VC26-CATMA_22141ED9-E00A-498F-9A35-FCC65A8B7E2F,437,444,מטפוריקה/מטפורה/פועל + שם עצם,תודיע ל,VC26-CATMA_9F725C39-B7AB-4DB1-8BE9-F0D8857618EB,VC26-CATMA_22659804-7F8D-49CF-ADB6-6A2BAF5D973F
